 #(CO-core: New calculations, following Camisassa et al. 2017, ONe-core: Camisassa et al. 2019) 
 #Log(g) log(teff) mWD    tcool(gyr)  R(Rsun)   core   log(L)    Mzams       G       Bp      Rp
  8.00   3.860   0.566     1.87362    0.012454   CO    -3.414    2.140   13.3091   13.4688   12.9852
  8.00   3.840   0.566     2.13496    0.012450   CO    -3.495    2.132   13.5061   13.7038   13.1373
  8.00   3.820   0.566     2.42266    0.012446   CO    -3.575    2.125   13.6756   13.9028   13.2736
  8.00   3.800   0.565     2.70556    0.012444   CO    -3.655    2.120   13.8477   14.1060   13.4119
  8.00   3.780   0.565     2.99079    0.012441   CO    -3.735    2.115   14.0330   14.3260   13.5610
  8.00   3.760   0.565     3.27767    0.012439   CO    -3.815    2.112   14.2228   14.5522   13.7145
  8.00   3.740   0.565     3.60000    0.012437   CO    -3.895    2.108   14.4169   14.7848   13.8718
  8.00   3.720   0.565     3.90704    0.012435   CO    -3.976    2.105   14.6151   15.0227   14.0340
  8.00   3.700   0.564     4.21960    0.012434   CO    -4.056    2.103   14.8224   15.2722   14.2049
  8.00   3.680   0.564     4.52821    0.012433   CO    -4.136    2.101   15.0273   15.5192   14.3753
  8.00   3.660   0.564     4.83188    0.012432   CO    -4.216    2.099   15.2403   15.7767   14.5538
  8.00   3.640   0.564     5.11592    0.012431   CO    -4.296    2.098   15.4555   16.0373   14.7356
  8.00   3.620   0.564     5.40191    0.012430   CO    -4.376    2.096   15.6756   16.3046   14.9230
  8.00   3.600   0.564     5.69457    0.012430   CO    -4.456    2.095   15.8971   16.5741   15.1131
  8.00   3.580   0.564     5.97768    0.012429   CO    -4.536    2.094   16.1213   16.8473   15.3071
  8.00   3.560   0.564     6.25138    0.012429   CO    -4.616    2.093   16.3476   17.1236   15.5044
  8.00   3.540   0.564     6.51880    0.012428   CO    -4.696    2.093   16.5743   17.4011   15.7035
  8.00   3.520   0.564     6.78223    0.012428   CO    -4.776    2.092   16.8028   17.6807   15.9058
  8.00   3.500   0.564     7.04508    0.012428   CO    -4.856    2.092   17.0364   17.9676   16.1136
  8.00   3.480   0.564     7.30984    0.012428   CO    -4.936    2.091   17.2730   18.2590   16.3252
  8.00   3.460   0.564     7.57936    0.012428   CO    -5.016    2.091   17.5043   18.5445   16.5333
  8.00   3.440   0.564     7.85535    0.012428   CO    -5.096    2.091   17.7432   18.8392   16.7499
  8.00   3.420   0.564     8.13892    0.012428   CO    -5.176    2.091   17.9898   19.1452   16.9741
  8.00   3.400   0.564     8.42935    0.012428   CO    -5.256    2.091   18.2244   19.4369   17.1885
  8.10   4.900   0.737     0.00049    0.012668   CO     0.760    3.736    8.6639    8.3898    9.0054
  8.10   4.880   0.732     0.00057    0.012631   CO     0.677    3.721    8.7177    8.4454    9.0555
  8.10   4.860   0.728     0.00066    0.012595   CO     0.595    3.706    8.7722    8.5014    9.1071
  8.10   4.840   0.723     0.00076    0.012560   CO     0.512    3.693    8.8270    8.5576    9.1594
  8.10   4.820   0.719     0.00087    0.012526   CO     0.430    3.680    8.8822    8.6143    9.2120
  8.10   4.800   0.716     0.00099    0.012493   CO     0.347    3.667    8.9378    8.6711    9.2659
  8.10   4.780   0.712     0.00114    0.012459   CO     0.265    3.655    9.0110    8.7479    9.3343
  8.10   4.760   0.708     0.00129    0.012427   CO     0.183    3.643    9.0534    8.7905    9.3767
  8.10   4.740   0.705     0.00147    0.012396   CO     0.100    3.632    9.0970    8.8349    9.4190
  8.10   4.720   0.701     0.00168    0.012365   CO     0.018    3.621    9.1501    8.8890    9.4702
  8.10   4.700   0.698     0.00191    0.012336   CO    -0.064    3.611    9.2335    8.9742    9.5508
  8.10   4.680   0.695     0.00217    0.012307   CO    -0.146    3.600    9.4570    9.2048    9.7643
  8.10   4.660   0.692     0.00247    0.012279   CO    -0.228    3.590    9.6432    9.4035    9.9300
  8.10   4.640   0.689     0.00281    0.012252   CO    -0.309    3.581    9.7644    9.5328   10.0378
  8.10   4.620   0.686     0.00321    0.012226   CO    -0.391    3.572    9.8678    9.6432   10.1300
  8.10   4.600   0.683     0.00367    0.012200   CO    -0.473    3.563    9.9621    9.7440   10.2139
  8.10   4.580   0.681     0.00421    0.012175   CO    -0.554    3.554   10.0502    9.8384   10.2921
  8.10   4.560   0.678     0.00485    0.012152   CO    -0.636    3.546   10.1339    9.9283   10.3662
  8.10   4.540   0.676     0.00561    0.012129   CO    -0.718    3.538   10.2227   10.0240   10.4433
  8.10   4.520   0.673     0.00654    0.012106   CO    -0.799    3.530   10.2929   10.0997   10.5052
  8.10   4.500   0.671     0.00770    0.012084   CO    -0.881    3.522   10.3688   10.1820   10.5704
  8.10   4.480   0.669     0.00915    0.012064   CO    -0.962    3.515   10.4405   10.2601   10.6307
  8.10   4.460   0.666     0.01103    0.012044   CO    -1.043    3.508   10.5060   10.3316   10.6852
  8.10   4.440   0.664     0.01351    0.012024   CO    -1.125    3.501   10.5639   10.3947   10.7332
  8.10   4.420   0.662     0.01697    0.012006   CO    -1.206    3.478   10.6114   10.4465   10.7728
  8.10   4.400   0.660     0.02178    0.011989   CO    -1.287    3.454   10.6478   10.4860   10.8034
  8.10   4.380   0.658     0.02847    0.011972   CO    -1.369    3.430   10.6763   10.5168   10.8275
  8.10   4.360   0.656     0.03746    0.011953   CO    -1.450    3.404   10.7030   10.5455   10.8502
  8.10   4.340   0.654     0.04904    0.011935   CO    -1.531    3.379   10.7444   10.5902   10.8856
  8.10   4.320   0.653     0.06319    0.011918   CO    -1.613    3.355   10.8052   10.6554   10.9382
  8.10   4.300   0.651     0.08011    0.011901   CO    -1.694    3.333   10.8790   10.7339   11.0032
  8.10   4.280   0.649     0.09978    0.011885   CO    -1.775    3.311   10.9611   10.8204   11.0767
  8.10   4.260   0.647     0.12217    0.011871   CO    -1.856    3.291   11.0509   10.9145   11.1582
  8.10   4.240   0.646     0.14726    0.011857   CO    -1.937    3.273   11.1471   11.0149   11.2456
  8.10   4.220   0.645     0.17523    0.011844   CO    -2.018    3.256   11.2474   11.1201   11.3361
  8.10   4.200   0.643     0.20621    0.011832   CO    -2.099    3.240   11.3426   11.2204   11.4214
  8.10   4.180   0.642     0.24043    0.011821   CO    -2.180    3.225   11.4433   11.3278   11.5097
  8.10   4.160   0.641     0.27818    0.011811   CO    -2.261    3.211   11.5486   11.4414   11.6002
  8.10   4.140   0.640     0.31993    0.011801   CO    -2.342    3.198   11.6534   11.5556   11.6890
  8.10   4.120   0.639     0.36623    0.011792   CO    -2.422    3.186   11.7552   11.6675   11.7742
  8.10   4.100   0.638     0.41784    0.011783   CO    -2.503    3.174   11.8588   11.7824   11.8598
  8.10   4.080   0.637     0.47560    0.011775   CO    -2.584    3.163   11.9643   11.9006   11.9456
  8.10   4.060   0.636     0.54077    0.011766   CO    -2.664    3.152   12.0741   12.0238   12.0347
  8.10   4.040   0.635     0.61568    0.011758   CO    -2.745    3.140   12.1901   12.1544   12.1289
  8.10   4.020   0.634     0.70520    0.011749   CO    -2.825    3.128   12.3103   12.2904   12.2256
