#    1         2         3         4         5         6       7      8            9             10       11           18        19              23                     24         25           26    
# LOG(L)   LOG(TEFF)    T_c      Ro_c       Hc        Hec   %Con_s %Con_c    Log(edad/Myr)      Masa    M^dot        Log(Lnu)  Log MHtot       Log(grav)   R/R_sun   L.H.[erg/s)] Sep.Fase[erg/s]   
 2.585913  5.472225  2.273975  8.000411  0.000000  0.000000  0.000  0.000    2.292129229290910  1.15919 -33.00000   3.7387796 -21.3828508    8.7601807   0.0074275   0.000000      -0.000000    
 2.571918  5.469415  2.269752  8.002029  0.000000  0.000000  0.000  0.000    2.292129813035935  1.15919 -33.00000   3.7097319 -21.3823570    8.7629351   0.0074040   0.000000      -0.000000    
 2.557472  5.466488  2.265590  8.003555  0.000000  0.000000  0.000  0.000    2.292130426122871  1.15919 -33.00000   3.6804990 -21.3508454    8.7656750   0.0073806   0.000000      -0.000000    
 2.542704  5.463486  2.261558  8.005113  0.000000  0.000000  0.000  0.000    2.292131066830182  1.15919 -33.00000   3.6515100 -21.3143290    8.7684349   0.0073572   0.000000      -0.000000    
 2.527436  5.460355  2.257574  8.006576  0.000000  0.000000  0.000  0.000    2.292131739716837  1.15919 -33.00000   3.6222990 -21.2947919    8.7711754   0.0073341   0.000000      -0.000000    
 2.511801  5.457134  2.253706  8.008069  0.000000  0.000000  0.000  0.000    2.292132442812541  1.15919 -33.00000   3.5933033 -21.2396448    8.7739275   0.0073109   0.000000      -0.000000    
 2.495642  5.453779  2.249880  8.009472  0.000000  0.000000  0.000  0.000    2.292133181048516  1.15919 -33.00000   3.5641007 -21.1838281    8.7766677   0.0072878   0.000000      -0.000000    
 2.479092  5.450334  2.246164  8.010917  0.000000  0.000000  0.000  0.000    2.292133952775804  1.15919 -33.00000   3.5351279 -21.1276713    8.7794364   0.0072646   0.000000      -0.000000    
 2.461970  5.446743  2.242478  8.012274  0.000000  0.000000  0.000  0.000    2.292134763669541  1.15919 -33.00000   3.5059153 -21.1131691    8.7821940   0.0072416   0.000000      -0.000000    
 2.444457  5.443061  2.238893  8.013673  0.000000  0.000000  0.000  0.000    2.292135611437728  1.15919 -33.00000   3.4769130 -21.0936925    8.7849803   0.0072184   0.000000      -0.000000    
 2.426365  5.439230  2.235332  8.014985  0.000000  0.000000  0.000  0.000    2.292136502260600  1.15919 -33.00000   3.4476663 -21.0906317    8.7877490   0.0071954   0.000000      -0.000000    
 2.407888  5.435309  2.231865  8.016339  0.000000  0.000000  0.000  0.000    2.292137433781920  1.15919 -33.00000   3.4186148 -21.0661273    8.7905391   0.0071724   0.000000      -0.000000    
 2.388864  5.431246  2.228415  8.017609  0.000000  0.000000  0.000  0.000    2.292138412801304  1.15919 -33.00000   3.3893075 -21.0688105    8.7933131   0.0071495   0.000000      -0.000000    
 2.369479  5.427098  2.225052  8.018924  0.000000  0.000000  0.000  0.000    2.292139436865686  1.15919 -33.00000   3.3601833 -21.0218877    8.7961071   0.0071265   0.000000      -0.000000    
 2.349557  5.422811  2.221702  8.020157  0.000000  0.000000  0.000  0.000    2.292140513597754  1.15919 -33.00000   3.3307899 -21.0189377    8.7988812   0.0071038   0.000000      -0.000000    
 2.329286  5.418440  2.218429  8.021426  0.000000  0.000000  0.000  0.000    2.292141640304036  1.15919 -33.00000   3.3015379 -21.0144901    8.8016683   0.0070811   0.000000      -0.000000    
 2.308497  5.413933  2.215158  8.022601  0.000000  0.000000  0.000  0.000    2.292142824892155  1.15919 -33.00000   3.2719873 -21.0129297    8.8044269   0.0070586   0.000000      -0.000000    
 2.287393  5.409349  2.211962  8.023817  0.000000  0.000000  0.000  0.000    2.292144064487144  1.15919 -33.00000   3.2425886 -20.9643525    8.8071952   0.0070361   0.000000      -0.000000    
 2.265790  5.404633  2.208766  8.024945  0.000000  0.000000  0.000  0.000    2.292145368728535  1.15919 -33.00000   3.2128778 -20.9225281    8.8099340   0.0070140   0.000000      -0.000000    
 2.243882  5.399843  2.205640  8.026117  0.000000  0.000000  0.000  0.000    2.292146734647181  1.15919 -33.00000   3.1832994 -20.8757777    8.8126820   0.0069918   0.000000      -0.000000    
 2.221483  5.394922  2.202510  8.027204  0.000000  0.000000  0.000  0.000    2.292148172642827  1.15919 -33.00000   3.1533957 -20.8588916    8.8153978   0.0069700   0.000000      -0.000000    
 2.198806  5.389933  2.199447  8.028338  0.000000  0.000000  0.000  0.000    2.292149679459189  1.15919 -33.00000   3.1236169 -20.8986594    8.8181205   0.0069482   0.000000      -0.000000    
 2.175652  5.384817  2.196378  8.029388  0.000000  0.000000  0.000  0.000    2.292151266673524  1.15919 -33.00000   3.0935059 -20.8179986    8.8208099   0.0069267   0.000000      -0.000000    
 2.152225  5.379634  2.193371  8.030485  0.000000  0.000000  0.000  0.000    2.292152930655857  1.15919 -33.00000   3.0635014 -20.7419729    8.8235021   0.0069053   0.000000      -0.000000    
 2.128338  5.374325  2.190354  8.031498  0.000000  0.000000  0.000  0.000    2.292154683850551  1.15919 -33.00000   3.0331514 -20.7309032    8.8261560   0.0068842   0.000000      -0.000000    
 2.104204  5.368955  2.187398  8.032558  0.000000  0.000000  0.000  0.000    2.292156521998899  1.15919 -33.00000   3.0029108 -20.7141440    8.8288083   0.0068632   0.000000      -0.000000    
 2.079615  5.363459  2.184430  8.033531  0.000000  0.000000  0.000  0.000    2.292158458621263  1.15919 -33.00000   2.9723227 -20.6562940    8.8314151   0.0068427   0.000000      -0.000000    
 2.054787  5.357902  2.181520  8.034550  0.000000  0.000000  0.000  0.000    2.292160488559689  1.15919 -33.00000   2.9418444 -20.6263142    8.8340120   0.0068222   0.000000      -0.000000    
 2.029494  5.352211  2.178596  8.035476  0.000000  0.000000  0.000  0.000    2.292162626044123  1.15919 -33.00000   2.9109962 -20.5729596    8.8365439   0.0068024   0.000000      -0.000000    
 2.003982  5.346461  2.175731  8.036443  0.000000  0.000000  0.000  0.000    2.292164863847467  1.15919 -33.00000   2.8802762 -20.5431995    8.8390539   0.0067827   0.000000      -0.000000    
 1.978077  5.340601  2.172857  8.037328  0.000000  0.000000  0.000  0.000    2.292167217541390  1.15919 -33.00000   2.8492847 -20.5107282    8.8415202   0.0067635   0.000000      -0.000000    
 1.951985  5.334694  2.170046  8.038264  0.000000  0.000000  0.000  0.000    2.292169681675936  1.15919 -33.00000   2.8184799 -20.4817518    8.8439860   0.0067443   0.000000      -0.000000    
 1.925494  5.328677  2.167227  8.039120  0.000000  0.000000  0.000  0.000    2.292172272258890  1.15919 -33.00000   2.7874195 -20.4675383    8.8464070   0.0067256   0.000000      -0.000000    
 1.898826  5.322614  2.164472  8.040026  0.000000  0.000000  0.000  0.000    2.292174980029731  1.15919 -33.00000   2.7565921 -20.4620365    8.8488232   0.0067069   0.000000      -0.000000    
 1.871774  5.316443  2.161711  8.040847  0.000000  0.000000  0.000  0.000    2.292177821047028  1.15919 -33.00000   2.7255617 -20.4609776    8.8511900   0.0066886   0.000000      -0.000000    
 1.844576  5.310232  2.159017  8.041718  0.000000  0.000000  0.000  0.000    2.292180783826606  1.15919 -33.00000   2.6948270 -20.4504297    8.8535470   0.0066705   0.000000      -0.000000    
 1.816989  5.303911  2.156321  8.042503  0.000000  0.000000  0.000  0.000    2.292183883207402  1.15919 -33.00000   2.6639689 -20.4138576    8.8558492   0.0066528   0.000000      -0.000000    
 1.789204  5.297538  2.153698  8.043335  0.000000  0.000000  0.000  0.000    2.292187105330761  1.15919 -33.00000   2.6334881 -20.3962599    8.8581404   0.0066353   0.000000      -0.000000    
 1.760885  5.291017  2.151075  8.044080  0.000000  0.000000  0.000  0.000    2.292190468135901  1.15919 -33.00000   2.6029357 -20.3852519    8.8603773   0.0066183   0.000000      -0.000000    
 1.732254  5.284415  2.148523  8.044870  0.000000  0.000000  0.000  0.000    2.292193958100820  1.15919 -33.00000   2.5727881 -20.3589060    8.8626003   0.0066013   0.000000      -0.000000    
 1.703105  5.277668  2.145968  8.045566  0.000000  0.000000  0.000  0.000    2.292197595626663  1.15919 -33.00000   2.5425687 -20.3446277    8.8647593   0.0065849   0.000000      -0.000000    
